Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,52_Week_High,52_Week_Low,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_125,SMA_200
PCG,PG&E Corporation,Utilities,Multi-Utilities,15.34,21.62,12.97,15.35,15.23,15.18,14.56,15.24,15.58,16.37
PM,Philip Morris International,Consumer Staples,Tobacco,161.64,185.29,114.24,165.14,164.17,166.37,168.78,172.07,168.53,155.03
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,131.18,135.47,89.26,131.64,131.59,129.81,126.13,120.25,118.08,118.58
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,87.42,94.64,79.08,87.8,88.26,89.45,90.35,90.16,90.39,88.85
PNC,PNC Financial Services,Financials,Diversified Banks,202.46,210.46,142.39,201.9,203.54,201.72,196.54,184.77,180.04,184.04
POOL,Pool Corporation,Consumer Discretionary,Distributors,324.78,391.14,281.15,324.32,321.39,319.27,313.07,306.12,307.21,321.64
PPG,PPG Industries,Materials,Specialty Chemicals,109.45,133.97,89.08,110.03,110.01,111.06,111.36,110.67,109.26,111.94
PPL,PPL Corporation,Utilities,Electric Utilities,35.97,37.09,30.41,35.87,35.87,36.11,35.75,34.98,34.88,34.07
PFG,Principal Financial Group,Financials,Life & Health Insurance,82.95,88.63,67.06,81.57,80.74,79.82,78.81,77.64,77.52,78.42
PG,Procter & Gamble,Consumer Staples,Personal Care Products,156.83,177.66,149.91,158.03,158.46,157.87,156.03,158.53,159.76,162.27
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,245.65,292.77,228.37,246.48,246.38,247.02,246.48,260.35,262.84,259.51
PLD,Prologis,Real Estate,Industrial REITs,114.27,127.91,84.54,113.48,112.95,111.93,109.17,107.51,106.65,108.78
PRU,Prudential Financial,Financials,Life & Health Insurance,105.45,125.75,88.12,106.11,106.58,107.39,104.7,103.8,103.6,107.13
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,82.97,92.35,73.5,81.88,81.24,82.03,83.85,81.65,81.42,82.03
PTC,PTC Inc.,Information Technology,Application Software,204.15,219.69,133.38,204.96,208.96,210.88,205.6,186.11,179.13,179.92
PSA,Public Storage,Real Estate,Self-Storage REITs,286.56,359.28,254.04,290.52,291.73,290.44,287.18,291.95,290.96,294.49
PHM,PulteGroup,Consumer Discretionary,Homebuilding,134.84,148.55,87.88,136.55,136.77,133.42,123.38,112.86,110.2,111.04
PWR,Quanta Services,Industrials,Construction & Engineering,385.68,424.94,227.02,384.3,379.47,379.95,387.86,365.18,344.58,330.25
QCOM,Qualcomm,Information Technology,Semiconductors,161.22,178.09,119.4,160.43,159.62,158.35,155.66,152.55,150.85,154.03
DGX,Quest Diagnostics,Health Care,Health Care Services,180.62,185.62,144.09,181.96,181.41,181.19,175.66,175.59,173.53,168.23
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",315.77,321.77,171.05,313.93,313.58,301.9,296.49,278.94,265.48,256.88
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,168.26,173.13,114.32,168.38,167.91,166.87,164.51,155.64,151.73,153.9
RTX,RTX Corporation,Industrials,Aerospace & Defense,158.37,161.26,111.21,155.72,156.52,156.92,154.22,144.71,141.35,133.78
O,Realty Income,Real Estate,Retail REITs,60.22,61.61,49.53,59.95,59.21,58.82,57.63,56.73,56.34,55.12
REG,Regency Centers,Real Estate,Retail REITs,70.97,75.93,62.21,71.52,71.89,71.52,70.75,70.67,70.49,70.75
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,572.59,1165.58,475.77,562.63,565.39,574.28,563.94,557.51,566.63,619.4
RF,Regions Financial Corporation,Financials,Regional Banks,26.9,27.61,17.36,26.99,27.02,26.66,25.69,23.6,22.89,23.08
RSG,Republic Services,Industrials,Environmental & Facilities Services,228.14,258.14,195.62,229.28,230.37,232.27,235.85,241.97,241.27,231.97
