Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
TFC,Truist Financial,Financials,Diversified Banks,49.22,55.25,33.19,50.21,51.19,52.34,50.76,44.96,0.2,13.29,55.76,48.91
TYL,Tyler Technologies,Information Technology,Application Software,353.58,625.14,287.04,336.6,325.32,334.6,400.61,502.14,-0.2,6.69,377.23,291.98
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,64.73,65.75,50.27,63.47,63.63,64.28,61.5,56.0,0.0,2.13,66.11,62.45
USB,U.S. Bancorp,Financials,Diversified Banks,54.48,60.69,35.28,55.73,56.98,57.94,55.95,48.51,-0.4,12.68,61.39,54.5
UBER,Uber,Industrials,Passenger Ground Transportation,74.67,100.1,64.62,72.88,72.45,73.84,79.11,88.53,-0.2,6.66,79.64,68.04
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,37.42,44.02,33.17,37.62,37.73,37.76,36.99,37.25,-0.1,4.89,39.25,36.27
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,684.39,706.82,314.47,684.12,687.59,681.75,655.19,544.35,0.2,3.33,707.18,656.35
UNP,Union Pacific Corporation,Industrials,Rail Transportation,264.27,266.66,204.53,264.88,264.19,257.39,241.77,228.32,0.0,4.81,276.98,237.79
UAL,United Airlines Holdings,Industrials,Passenger Airlines,116.43,117.53,56.15,112.42,112.17,111.21,111.88,97.64,-0.2,2.78,119.67,102.75
UPS,United Parcel Service,Industrials,Air Freight & Logistics,116.04,118.35,80.05,115.38,115.84,114.81,107.63,94.07,0.2,4.41,121.16,108.46
URI,United Rentals,Industrials,Trading Companies & Distributors,836.32,1015.58,547.11,865.69,873.96,858.51,866.38,849.41,0.0,11.38,931.49,785.49
UNH,UnitedHealth Group,Health Care,Managed Health Care,286.66,587.56,234.7,283.43,286.19,282.99,313.75,313.28,-0.2,3.5,296.69,269.29
UHS,Universal Health Services,Health Care,Health Care Facilities,205.71,243.98,154.65,220.67,226.91,220.59,216.35,200.07,-0.2,19.5,245.82,195.35
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,204.15,204.15,101.7,200.86,200.13,197.33,183.9,159.19,0.0,3.19,210.66,183.99
VTR,Ventas,Real Estate,Health Care REITs,86.38,86.89,61.17,86.46,86.16,83.6,79.84,71.16,0.0,4.7,90.44,76.76
VLTO,Veralto,Industrials,Environmental & Facilities Services,97.17,109.49,85.03,95.16,94.19,94.25,98.31,101.46,0.0,2.87,99.96,88.54
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,227.62,303.03,211.49,218.47,217.63,224.4,237.25,260.22,-0.2,8.95,247.99,200.8
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,207.18,319.65,169.47,195.68,188.74,188.26,207.53,250.55,0.2,3.27,213.95,162.56
VZ,Verizon,Communication Services,Integrated Telecommunication Services,49.88,49.88,37.75,49.51,49.14,48.0,42.95,41.42,-0.2,2.69,51.22,44.79
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,496.08,513.76,366.54,485.54,481.3,474.42,465.69,436.23,0.4,-0.43,493.95,454.89
VTRS,Viatris,Health Care,Pharmaceuticals,14.88,16.13,7.0,15.65,15.77,15.24,13.65,10.65,0.2,14.99,17.11,13.38
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,30.22,32.93,27.29,30.15,29.96,29.33,28.61,30.31,0.1,1.95,30.81,27.84
V,Visa Inc.,Financials,Transaction & Payment Processing Services,319.66,371.15,305.98,312.62,315.68,321.73,333.22,341.84,-0.4,5.28,336.54,306.93
VST,Vistra Corp.,Utilities,Electric Utilities,172.71,217.62,97.7,172.86,172.4,163.03,163.45,181.33,-0.2,6.69,184.26,141.8
VMC,Vulcan Materials Company,Materials,Construction Materials,310.14,330.37,219.27,310.67,309.07,312.68,303.31,287.84,0.0,6.85,331.38,293.97
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,71.59,77.13,59.95,71.48,70.99,70.44,69.52,70.94,-0.1,1.52,72.68,68.2
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1136.33,1202.47,911.85,1120.49,1125.49,1142.3,1077.93,1017.65,-0.2,6.84,1214.05,1070.55
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,263.0,264.78,159.43,263.32,261.8,252.09,234.46,208.76,0.0,4.42,274.62,229.57
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,128.02,133.89,81.24,126.15,126.8,127.16,120.11,105.81,0.0,4.54,133.83,120.48
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,106.15,123.18,80.83,105.44,105.68,106.33,110.13,112.66,0.0,4.37,110.79,101.87
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,28.8,29.98,7.69,28.9,28.67,28.03,28.35,18.9,0.0,2.36,29.48,26.59
WM,Waste Management,Industrials,Environmental & Facilities Services,240.55,240.55,196.01,232.54,233.02,230.42,225.14,221.99,0.4,-0.52,239.3,221.54
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,318.46,412.54,277.72,322.96,324.91,341.24,369.39,343.38,-0.2,22.73,390.85,291.63
WEC,WEC Energy Group,Utilities,Electric Utilities,116.96,116.96,99.58,115.97,115.34,113.24,108.8,107.4,0.0,0.85,117.95,108.53
WFC,Wells Fargo,Financials,Diversified Banks,81.26,95.92,59.68,84.81,86.33,88.85,90.52,82.97,-0.4,17.59,95.55,82.15
WELL,Welltower,Real Estate,Health Care REITs,207.49,214.72,134.26,208.31,208.88,201.59,192.24,174.01,0.4,6.16,220.27,182.91
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,252.71,306.73,189.72,247.84,246.61,243.28,256.63,249.78,-0.2,1.31,256.02,230.54
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",281.55,296.56,30.42,281.15,283.82,278.37,235.45,132.83,0.2,6.82,300.75,256.0
WY,Weyerhaeuser,Real Estate,Timber REITs,24.44,30.38,21.15,24.67,25.41,26.01,25.39,24.71,0.0,13.95,27.85,24.17
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,204.85,220.67,135.52,207.26,210.23,212.02,203.03,187.45,0.0,8.06,221.36,202.66
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,75.21,75.21,52.21,74.09,73.2,70.69,64.98,60.37,0.0,1.62,76.43,64.95
WTW,Willis Towers Watson,Financials,Insurance Brokers,305.65,348.96,280.09,298.71,298.15,304.54,318.43,319.01,-0.2,10.93,339.06,270.03
WDAY,"Workday, Inc.",Information Technology,Application Software,134.04,274.71,129.21,133.15,137.37,148.61,181.68,221.53,0.2,31.69,176.52,120.69
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,108.08,132.8,65.5,108.47,111.54,112.07,116.07,113.18,-0.2,10.34,119.26,104.87
XEL,Xcel Energy,Utilities,Multi-Utilities,83.42,83.91,64.64,83.54,82.21,79.38,76.45,74.08,0.0,2.64,85.62,73.15
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,129.4,152.0,101.62,128.91,128.58,132.03,136.25,137.01,-0.2,10.43,142.9,121.16
YUM,Yum! Brands,Consumer Discretionary,Restaurants,168.13,168.13,136.41,166.29,164.0,161.34,156.5,147.78,0.0,0.29,168.62,154.06
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,223.85,341.36,213.54,233.01,245.01,246.95,248.52,284.9,0.0,21.5,271.98,221.93
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,98.56,112.31,85.71,99.75,98.86,94.34,91.45,94.94,0.1,6.14,104.61,84.06
ZTS,Zoetis,Health Care,Pharmaceuticals,130.83,169.34,115.26,128.8,128.14,127.21,125.59,140.65,-0.1,0.21,131.1,123.31
