Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,475.0,539.61,394.44,461.5,450.51,453.79,493.74,491.37,0.2,7.4,510.15,397.45
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,166.32,190.18,97.22,170.62,172.22,175.69,178.87,155.83,0.0,12.22,186.64,164.75
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,27.9,37.21,22.27,27.85,28.7,28.79,27.03,30.62,-0.3,11.15,31.01,26.58
MSI,Motorola Solutions,Information Technology,Communications Equipment,481.3,487.57,363.49,472.09,464.8,441.81,408.32,421.36,-0.1,2.45,493.09,390.51
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,572.91,622.3,499.82,557.95,546.76,553.24,569.96,560.75,0.0,6.54,610.38,496.13
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,87.72,100.98,65.81,84.27,82.64,84.75,92.81,89.94,0.2,8.13,94.85,74.64
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",98.62,125.2,75.04,100.01,100.89,100.76,103.48,108.27,-0.2,7.68,106.19,95.32
NFLX,Netflix,Communication Services,Movies & Entertainment,95.96,133.91,75.86,83.46,80.48,80.67,86.34,110.14,0.2,-6.89,89.35,71.99
NEM,Newmont,Materials,Gold,130.73,131.95,41.42,126.28,125.17,120.99,114.87,83.12,0.0,1.02,132.06,109.91
NWSA,News Corp (Class A),Communication Services,Publishing,24.28,31.03,22.4,23.67,23.46,23.84,25.37,27.41,-0.2,8.32,26.3,21.38
NWS,News Corp (Class B),Communication Services,Publishing,26.75,35.06,25.65,26.37,26.32,27.05,28.95,31.28,-0.2,12.52,30.1,24.0
NEE,NextEra Energy,Utilities,Multi-Utilities,94.07,95.68,62.68,94.18,93.25,91.39,85.77,78.11,0.0,2.23,96.17,86.61
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",62.24,78.33,52.31,63.35,64.13,63.3,63.42,66.98,0.0,6.04,66.0,60.59
NI,NiSource,Utilities,Multi-Utilities,47.31,47.31,36.11,46.63,46.37,45.32,43.46,41.54,0.0,0.68,47.63,43.02
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,292.47,299.29,165.71,291.91,293.81,290.13,269.54,233.42,0.2,3.92,303.93,276.32
NSC,Norfolk Southern,Industrials,Rail Transportation,314.17,317.29,202.22,314.03,314.83,309.8,296.76,278.52,0.0,3.92,326.49,293.11
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,142.51,154.8,82.84,143.53,144.85,147.22,145.07,129.17,0.0,8.32,154.37,140.07
NOC,Northrop Grumman,Industrials,Aerospace & Defense,726.26,734.52,449.08,718.79,717.14,704.19,650.91,574.68,0.0,1.56,737.59,670.78
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",24.67,26.94,15.5,24.19,23.89,23.35,22.84,22.08,0.2,2.39,25.26,21.44
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,178.41,184.03,82.58,180.78,177.49,165.24,158.63,158.72,0.1,7.49,191.77,138.7
NUE,Nucor,Materials,Steel,176.85,194.42,102.02,176.39,179.34,183.81,174.9,147.17,-0.2,11.01,196.32,171.29
NVDA,Nvidia,Information Technology,Semiconductors,177.38,207.03,94.29,188.45,187.57,185.99,185.62,174.95,0.0,11.6,197.96,174.03
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,7533.19,8543.0,6700.0,7442.42,7477.04,7707.29,7574.52,7611.07,0.1,9.32,8235.28,7179.44
NXPI,NXP Semiconductors,Information Technology,Semiconductors,226.07,249.75,151.41,231.83,235.04,232.95,231.84,219.38,0.0,9.86,248.36,217.56
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,93.86,107.82,85.97,93.26,93.6,94.44,94.29,96.86,-0.1,4.88,98.44,90.44
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,53.22,53.22,35.51,51.99,50.25,48.03,44.46,43.52,0.0,1.39,53.96,42.11
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,203.11,208.54,126.04,196.75,196.07,194.67,178.07,157.24,0.0,3.16,209.53,179.83
OMC,Omnicom Group,Communication Services,Advertising,85.4,85.4,67.27,83.21,78.74,74.87,77.56,74.7,0.0,2.73,87.73,62.01
ON,ON Semiconductor,Information Technology,Semiconductors,66.08,72.21,31.95,68.68,69.55,67.05,62.07,53.77,0.2,13.39,74.93,59.17
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,82.95,96.97,63.44,83.89,85.22,83.13,77.16,74.3,0.2,8.05,89.63,76.63
ORCL,Oracle Corporation,Information Technology,Application Software,144.22,326.9,122.02,145.97,150.48,152.01,174.01,219.83,0.0,15.52,166.6,137.4
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,92.26,102.4,83.75,90.72,91.44,90.05,89.12,90.29,-0.1,2.36,94.44,85.66
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,125.51,129.48,84.24,125.3,125.85,126.18,120.17,102.34,0.2,3.16,129.48,122.87
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,230.86,246.31,172.76,229.61,234.99,234.7,221.95,205.28,0.2,7.91,249.12,220.28
PLTR,Palantir Technologies,Information Technology,Application Software,135.51,207.18,74.01,133.02,133.5,137.0,161.04,161.49,-0.2,11.44,151.01,122.99
PANW,Palo Alto Networks,Information Technology,Systems Software,148.15,221.38,141.67,145.64,151.07,158.49,174.94,191.5,-0.2,20.78,178.94,138.03
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,13.4,19.65,10.05,11.14,10.96,10.87,11.86,13.82,0.4,-9.1,12.18,9.56
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,1009.22,1023.02,512.49,1013.59,1011.18,990.78,941.53,792.77,0.0,3.04,1039.9,941.68
PAYX,Paychex,Industrials,Human Resource & Employment Services,93.83,155.44,87.39,91.08,92.09,95.16,103.89,124.79,-0.2,10.14,103.34,86.99
PAYC,Paycom,Industrials,Human Resource & Employment Services,126.08,264.67,114.43,122.71,122.08,124.92,143.06,196.5,-0.2,8.16,136.37,113.48
PYPL,PayPal,Financials,Transaction & Payment Processing Services,46.16,78.04,39.08,46.02,43.6,43.31,52.08,64.87,-0.2,10.57,51.04,35.58
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,99.25,112.06,75.4,101.02,101.05,100.11,102.92,104.29,0.2,6.5,105.7,94.52
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,170.21,170.49,124.61,168.96,166.66,165.61,153.13,142.88,0.0,2.44,174.36,156.87
PFE,Pfizer,Health Care,Pharmaceuticals,27.65,27.73,20.13,27.21,27.19,27.05,25.87,24.29,0.0,1.3,28.01,26.1
PCG,PG&E Corporation,Utilities,Multi-Utilities,19.0,19.0,12.94,18.73,18.42,17.33,16.31,15.51,0.0,4.21,19.8,14.87
PM,Philip Morris International,Consumer Staples,Tobacco,186.23,189.8,143.03,187.55,185.85,183.99,172.41,165.14,0.0,2.41,190.72,177.27
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,153.87,160.18,89.58,153.49,154.75,153.42,142.32,130.25,0.2,5.82,162.83,144.02
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,100.33,100.33,84.16,99.86,99.19,96.68,92.3,89.08,0.0,1.95,102.29,91.07
PNC,PNC Financial Services,Financials,Diversified Banks,212.08,242.48,144.5,219.11,225.21,230.08,220.89,195.62,-0.2,16.06,246.14,214.02
POOL,Pool Corporation,Consumer Discretionary,Distributors,226.76,358.43,214.75,220.11,231.72,246.64,247.05,280.85,-0.2,26.64,287.17,206.11
PPG,PPG Industries,Materials,Specialty Chemicals,123.18,130.81,89.31,124.14,125.73,124.9,113.89,107.75,-0.2,8.34,133.45,116.35
PPL,PPL Corporation,Utilities,Electric Utilities,38.96,38.96,32.73,38.24,37.78,36.82,35.97,35.4,0.0,0.18,39.03,34.62
PFG,Principal Financial Group,Financials,Life & Health Insurance,95.61,97.5,67.57,95.07,93.81,94.31,91.98,82.67,0.0,2.95,98.43,90.2
PG,Procter & Gamble,Consumer Staples,Personal Care Products,166.9,171.55,137.07,164.9,162.03,159.64,150.25,151.97,-0.1,0.26,167.33,151.95
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,213.96,273.51,191.53,208.0,206.16,205.35,208.53,224.96,0.0,-0.92,211.99,198.7
PLD,Prologis,Real Estate,Industrial REITs,142.14,142.66,87.44,141.17,140.68,138.04,132.53,117.69,0.2,2.35,145.48,130.61
PRU,Prudential Financial,Financials,Life & Health Insurance,98.17,117.13,90.31,100.52,101.96,102.76,108.43,103.73,-0.2,10.77,108.74,96.79
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,85.93,88.72,75.32,86.06,85.92,83.86,81.38,81.36,0.2,3.19,88.67,79.04
PTC,PTC Inc.,Information Technology,Application Software,155.81,216.53,136.74,154.31,154.65,154.93,164.19,184.07,-0.2,3.35,161.03,148.83
PSA,Public Storage,Real Estate,Self-Storage REITs,306.76,308.4,258.1,303.89,302.43,293.88,280.91,282.68,0.1,2.39,314.09,273.66
PHM,PulteGroup,Consumer Discretionary,Homebuilding,137.43,142.56,91.48,137.76,139.47,136.45,128.99,121.15,0.2,6.21,145.96,126.93
PWR,Quanta Services,Industrials,Construction & Engineering,562.78,568.21,236.44,561.58,548.31,521.98,475.18,418.49,0.0,4.27,586.81,457.13
QCOM,Qualcomm,Information Technology,Semiconductors,142.01,186.73,122.59,143.72,142.93,143.09,158.09,159.75,-0.2,6.89,151.79,134.39
DGX,Quest Diagnostics,Health Care,Health Care Services,212.39,212.39,157.65,209.65,206.99,200.6,187.69,180.21,0.0,3.13,219.04,182.17
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,126.62,,,119.93,116.48,109.28,97.29,,-0.1,1.11,128.03,90.54
